pet_carer_id,bigint(20),id
user_id,bigint(20),外键-用户id
user_address_id,bigint(20),外键-地址id
pet_carer_no,bigint(20),宠X师编号
pet_carer_nickname,varchar(64),宠X师昵称
pet_carer_start_work_time,int(11),宠X师开始工作时间
pet_carer_start_feed_time,int(11),宠X师开始养宠物时间
pet_carer_rate,"decimal(1,1)",宠X师评分
pet_carer_sale,"decimal(10,0)",销量
pet_carer_description,text,宠X师简介
pet_carer_telephone,varchar(16),服务者电话
province_code,varchar(10),省代码
city_code,varchar(10),市代码
county_code,varchar(10),区代码
lon,float,经度
lat,float,纬度
del_flag,tinyint(1),删除表示 1：删除 0：未删除
create_time,datetime,创建时间
update_time,datetime,修改时间
province,varchar(10),省
city,varchar(10),市
county,varchar(10),区县
address,varchar(140),地址
service_scope,int(11),服务范围(km)
long_journey_money,"decimal(10,2)",远途费金额
recommend,bigint(20),
recommend_start_time,datetime,
recommend_effective_distancee,bigint(20),
recommend_end_time,datetime,
recommend_effective_distance,bigint(20),
