id,bigint(20),主键id
order_no,varchar(32),订单编号
user_id,bigint(20),下单用户id-外键(um_user)
origin_score,int(10),订单原始积分
pay_score,int(10),订单实际支付积分
pay_type,tinyint(1),支付方式:1-胖豆(积分)
status,tinyint(1),订单状态(0-已关闭;1-待发货;2-已发货;3-已完成)
receiver_name,varchar(32),收货人姓名
receiver_phone,varchar(16),收货人手机号码
receiver_province,varchar(32),收货人省
receiver_province_code,varchar(16),收货人省编码
receiver_city,varchar(32),收货人市
receiver_city_code,varchar(16),收货人市编码
receiver_county,varchar(32),收货人区
receiver_county_code,varchar(16),收货人区编码
receiver_address,varchar(255),收货人详情地址
place_order_time_day,varchar(16),下单支付时间 yyyy-MM-dd
place_order_time,datetime,下单支付时间
close_reason,varchar(64),关闭原因
remark,varchar(320),订单备注
is_return,tinyint(1),是否退还积分(0-不退还 1-退还)
del_flag,tinyint(1),删除标识 1：删除 0：未删除
create_time,datetime,创建时间
update_time,datetime,更新时间
