_id,String,订单支付id
payOrderNo,String,支付订单编号
orderNo,String,订单编号
orderType,String,订单类型，GENERAL_ORDER：普通商品订单，SERVICE_ORDER：服务商品订单
gatePaySerialNo,String,第三方支付流水号
payType,String,支付方式，WX：微信，ZFB：支付宝
payServiceType,String,支付业务类型: WECHAT_JSGZH:微信公众号支付， WECHAT_JSXCX:微信小程序支付， ALIPAY_A
productName,String,商品名称
shopId,String,店铺id
merchantId,String,商家id
merchantUserId,String,商家用户id
merchantWalletId,String,商家钱包id
chainShopWalletId,String,连锁店铺钱包id 只有在连锁店铺下单时 才有该字段
merchantContractNo,String,商家三方账户号
payUserId,String,支付用户id
payUserName,String,支付用户名称
payUserWalletId,String,支付用户钱包id
payStatus,String,支付状态，10：未支付，20：支付中，30：支付成功，40：支付失败
tradeAmount,BigDecimal,交易金额
splitFlag,String,分账标识 0:未分账， 1:已分账
orderPayTime,LocalDateTime,支付时间
splitTime,LocalDateTime,分账时间
expireDate,String,订单支付有效时间 （不传默认下单时间加15分钟 格式:yyyyMMddHHmmss）
validDate,String,分账开始日期，>=该值才可分账; 格式:yyyyMMdd
isRaw,String,是否非原生 微信公众号：是否原生态.1-原生；0-非原生，不传默认是1-原生
marketingAmount,BigDecimal,None
totalMarketingAmount,BigDecimal,None
marketingInfos,List,None
feature,String,扩展字段
createTime,LocalDateTime,创建时间
updateTime,LocalDateTime,更新时间
