_id,ObjectId,None
userId,String,None
createTime,LocalDateTime,None
updateTime,LocalDateTime,None
status,CustomerWalletAccountStatus,None
contractNo,String,None
bindState,CustomerWalletBindState,None
customerName,String,None
certificateNo,String,None
imageFront,String,None
imageBack,String,None
fileNo,String,None
passwordStatus,Boolean,None
completeTime,LocalDateTime,None
callSource,CallSource,None
merchantId,String,None
shopId,String,店铺id
subjectChangeFlag,Integer,None
logoffStatus,Integer,None
